,neighbors,chemical_shift
254,"[['C', 1.3367417149840681, 0.193462, 6, 2.55, 12]]",348.982
255,"[['C', 1.3395822138628792, 0.163294, 6, 2.55, 12]]",318.354
256,"[['C', 1.3543676996493708, 0.417421, 6, 2.55, 12]]",254.649
257,"[['C', 1.350533329413902, 0.417421, 6, 2.55, 12]]",284.447
258,"[['C', 1.3538830284926424, 0.417421, 6, 2.55, 12]]",258.583
259,"[['C', 1.354358161572644, 0.41743, 6, 2.55, 12]]",260.114
260,"[['C', 1.3550481544309156, 0.41743, 6, 2.55, 12]]",252.948
261,"[['C', 1.3511880170111734, 0.41743, 6, 2.55, 12]]",284.286
262,"[['C', 1.343390726754046, 0.419568, 6, 2.55, 12]]",264.465
263,"[['C', 1.3405381450120588, 0.419568, 6, 2.55, 12]]",253.321
264,"[['C', 1.3551754493876276, 0.419568, 6, 2.55, 12]]",270.462
265,"[['C', 1.361107286278472, 0.13747, 6, 2.55, 12], ['H', 1.8343073203389908, 0.295409, 1, 2.2, 1]]",304.71
266,"[['C', 1.3406862706515186, 0.137352, 6, 2.55, 12]]",295.993
267,"[['C', 1.3390216016497223, 0.142421, 6, 2.55, 12]]",300.012
268,"[['C', 1.3515736070908817, 0.575247, 6, 2.55, 12]]",256.44
269,"[['C', 1.347480481296429, 0.575247, 6, 2.55, 12]]",264.26
270,"[['C', 1.3296519095419266, 0.575247, 6, 2.55, 12]]",260.617
271,"[['C', 1.3527539836419122, 0.417534, 6, 2.55, 12]]",254.592
272,"[['C', 1.3468728427649153, 0.417534, 6, 2.55, 12]]",283.478
273,"[['C', 1.352919722805901, 0.417534, 6, 2.55, 12]]",259.445
274,"[['C', 1.3406862706515186, 0.137352, 6, 2.55, 12]]",295.993
275,"[['C', 1.351845851838886, 0.418296, 6, 2.55, 12]]",261.241
276,"[['C', 1.344663322488953, 0.418296, 6, 2.55, 12]]",280.276
277,"[['C', 1.3517256377441664, 0.418296, 6, 2.55, 12]]",260.78
278,"[['C', 1.3523110750774356, 0.41749, 6, 2.55, 12]]",270.926
279,"[['C', 1.353676790264044, 0.41749, 6, 2.55, 12]]",250.922
280,"[['C', 1.349565102273702, 0.41749, 6, 2.55, 12]]",278.97
281,"[['C', 1.352877312013283, 0.41749, 6, 2.55, 12]]",266.182
282,"[['C', 1.3488746282465607, 0.41749, 6, 2.55, 12]]",281.855
283,"[['C', 1.3539836142081583, 0.41749, 6, 2.55, 12]]",251.903
284,"[['C', 1.3368447301965711, 0.213221, 6, 2.55, 12]]",244.183
285,"[['C', 1.3565357877236788, 0.417422, 6, 2.55, 12]]",255.828
286,"[['C', 1.3571020689093038, 0.417422, 6, 2.55, 12]]",254.993
287,"[['C', 1.3523246456472917, 0.417422, 6, 2.55, 12]]",284.777
288,"[['C', 1.3444665683180166, 0.158652, 6, 2.55, 12]]",323.524
289,"[['C', 1.3442699285060093, 0.158411, 6, 2.55, 12]]",326.736
290,"[['B', 1.4541407452169137, 0.0, 5, 2.04, 11]]",336.39
291,"[['B', 1.4536412132641257, 0.0, 5, 2.04, 11]]",347.308
292,"[['B', 1.4535048531394725, 0.0, 5, 2.04, 11]]",344.083
293,"[['B', 1.4530739323929802, 0.0, 5, 2.04, 11]]",351.853
294,"[['C', 1.3465932009879225, 0.435941, 6, 2.55, 12]]",262.529
295,"[['C', 1.3494323821836796, 0.435941, 6, 2.55, 12]]",257.354
296,"[['C', 1.351955339760806, 0.435941, 6, 2.55, 12]]",276.635
297,"[['C', 1.3476653143383834, 0.417477, 6, 2.55, 12]]",277.937
298,"[['C', 1.3501135319094706, 0.417477, 6, 2.55, 12]]",269.861
299,"[['C', 1.3507491890956678, 0.417477, 6, 2.55, 12]]",250.064
300,"[['C', 1.3348501153061303, 0.140897, 6, 2.55, 12]]",283.62
301,"[['C', 1.3447406851825126, 0.123441, 6, 2.55, 12]]",285.48
302,"[['C', 1.352726589097482, 0.417442, 6, 2.55, 12]]",254.781
303,"[['C', 1.3486292145101986, 0.417442, 6, 2.55, 12]]",284.138
304,"[['C', 1.3527448428752553, 0.417442, 6, 2.55, 12]]",259.425
305,"[['C', 1.349610192824785, 0.417442, 6, 2.55, 12]]",279.16
306,"[['C', 1.3520101891275502, 0.417442, 6, 2.55, 12]]",270.19
307,"[['C', 1.352805808722618, 0.417442, 6, 2.55, 12]]",249.916
308,"[['C', 1.353002527409393, 0.423554, 6, 2.55, 12]]",276.992
309,"[['C', 1.3435597481392538, 0.423554, 6, 2.55, 12]]",275.208
310,"[['C', 1.3426451257426106, 0.423554, 6, 2.55, 12]]",275.876
311,"[['C', 1.3729145986576734, 0.352696, 6, 2.55, 12]]",310.115
312,"[['C', 1.3569446654134916, 0.352696, 6, 2.55, 12]]",302.505
313,"[['C', 1.329230569071724, 0.540199, 6, 2.55, 12]]",267.119
314,"[['C', 1.325632134601568, 0.540199, 6, 2.55, 12]]",262.206
315,"[['C', 1.3270027811703426, 0.540199, 6, 2.55, 12]]",262.811
316,"[['C', 1.337898963049551, 0.540199, 6, 2.55, 12]]",270.742
317,"[['C', 1.329920287604689, 0.540199, 6, 2.55, 12]]",272.287
318,"[['C', 1.324937551137536, 0.540199, 6, 2.55, 12]]",269.091
319,"[['C', 1.338514186561727, 0.124315, 6, 2.55, 12]]",278.046
320,"[['C', 1.3495417462329395, 0.127036, 6, 2.55, 12]]",300.243
321,"[['C', 1.3633636494252814, 0.164726, 6, 2.55, 12]]",348.515
322,"[['C', 1.3526975421439074, 0.455408, 6, 2.55, 12]]",264.971
323,"[['C', 1.3323689213006182, 0.455408, 6, 2.55, 12]]",284.771
324,"[['C', 1.3528062308155588, 0.455408, 6, 2.55, 12]]",265.03
